| **LEG-RPG-012** | RPG-CORE | Melee legality (Adjacency) | `actions/combat.py` | `tests/` | `src_v2/engine/legality.py` | `tests_v2/parity/` | `test_interaction_parity.py` | SUPPORTED | DIVERGENT | Hardened engagement rules. | CERTIFICATION | Phase 5 | None | Verification suite pass |
| **LEG-RPG-044** | RPG-CORE | Event interpretation mutation | `core/logic/event_interpreter.py` | `tests/` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | DIVERGENT | Salience-weighted turns. | CERTIFICATION | Phase 5 | None | Verification suite pass |
| **LEG-RPG-045** | RPG-CORE | Knowledge uncertainty res. | `ai/strategy/uncertainty_resolution.py` | `tests/` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | DIVERGENT | Trust-weighted resolution. | CERTIFICATION | Phase 5 | None | Verification suite pass |
| **LEG-RPG-054** | RPG-CORE | Turning points behavior | `integration/gameplay/` | `tests/` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | UNSUPPORTED | Pending Phase 6 P1. | DIFFERENTIAL PARITY | Phase 6 | M7 Hardening | Parity Oracle pass |
| **LEG-RPG-058** | RPG-CORE | Territory ownership | `core/gameplay/attributes.py` | `tests/` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | UNSUPPORTED | Pending Phase 6 Ledger. | DIFFERENTIAL PARITY | Phase 6 | M7 Hardening | Parity Oracle pass |
| **LEG-RPG-059** | RPG-CORE | Class choice gear | `core/gameplay/classes.py` | `test_class_gear.py` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | UNSUPPORTED | Pending Phase 6 Ledger. | DIFFERENTIAL PARITY | Phase 6 | M7 Hardening | Parity Oracle pass |
| **LEG-RPG-060** | RPG-CORE | Skill breakthroughs | `core/aspects/` | `tests/` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | UNSUPPORTED | Pending Phase 6 Ledger. | DIFFERENTIAL PARITY | Phase 6 | M7 Hardening | Parity Oracle pass |
| **LEG-RPG-061** | RPG-CORE | Combat rewards (XP) | `unit/combat/` | `tests/` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | UNSUPPORTED | Pending Phase 6 P1. | DIFFERENTIAL PARITY | Phase 6 | M7 Hardening | Parity Oracle pass |
| **LEG-RPG-063** | RPG-CORE | NPC/Hero contracts | `unit/core/gameplay/` | `tests/` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | UNSUPPORTED | Pending Phase 6 Ledger. | DIFFERENTIAL PARITY | Phase 6 | M7 Hardening | Parity Oracle pass |
| **LEG-RPG-064** | RPG-CORE | Specialization progression | `unit/core/aspects/` | `test_milestone.py` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | UNSUPPORTED | Pending Phase 6 Ledger. | DIFFERENTIAL PARITY | Phase 6 | M7 Hardening | Parity Oracle pass |
| **LEG-RPG-065** | RPG-CORE | RPG math synergy | `unit/core/gameplay/` | `tests/` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | UNSUPPORTED | Pending Phase 6 Ledger. | DIFFERENTIAL PARITY | Phase 6 | M7 Hardening | Parity Oracle pass |
| **LEG-RPG-107** | RPG-CORE | Detour limits (Bounded) | `ai/` | `test_detour.py` | `src_v2/systems/strategic.py` | `tests_v2/` | `test_resource_intelligence_contract.py` | SUPPORTED | DIVERGENT | Bounded depth/breadth. | CERTIFICATION | Phase 5 | None | Verification suite pass |
| **LEG-RPG-108** | RPG-CORE | Objective precedence | `ai/` | `test_obj.py` | `src_v2/systems/strategic.py` | `tests_v2/` | `test_resource_intelligence_contract.py` | SUPPORTED | DIVERGENT | Blocker > Active. | CERTIFICATION | Phase 5 | None | Verification suite pass |
| **LEG-RPG-109** | RPG-CORE | Project retention margin | `ai/` | `test_retain.py` | `src_v2/systems/strategic.py` | `tests_v2/` | `test_resource_intelligence_contract.py` | SUPPORTED | DIVERGENT | Explicit margin logic. | CERTIFICATION | Phase 5 | None | Verification suite pass |
| **LEG-RPG-110** | RPG-CORE | Profile-capped intake | `ai/` | `test_intake.py` | `src_v2/systems/strategic.py` | `tests_v2/` | `test_resource_intelligence_contract.py` | SUPPORTED | DIVERGENT | Profile-capped intake. | CERTIFICATION | Phase 5 | None | Verification suite pass |
| **LEG-RPG-126** | RPG-CORE | Rewards in apply | `unit/combat/` | `test_reward.py` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | UNSUPPORTED | Pending Phase 6 P1. | DIFFERENTIAL PARITY | Phase 6 | M7 Hardening | Parity Oracle pass |
| **LEG-RPG-127** | RPG-CORE | No level up (Undead) | `unit/core/aspects/` | `test_undead.py` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | UNSUPPORTED | Pending Phase 6 Ledger. | DIFFERENTIAL PARITY | Phase 6 | M7 Hardening | Parity Oracle pass |
| **LEG-RPG-128** | RPG-CORE | Level 5 Milestone stats | `unit/core/aspects/` | `test_lvl5.py` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | UNSUPPORTED | Pending Phase 6 Ledger. | DIFFERENTIAL PARITY | Phase 6 | M7 Hardening | Parity Oracle pass |
| **LEG-RPG-129** | RPG-CORE | Veterancy stat boost | `unit/core/aspects/` | `test_vet.py` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | UNSUPPORTED | Pending Phase 6 Ledger. | DIFFERENTIAL PARITY | Phase 6 | M7 Hardening | Parity Oracle pass |
| **LEG-RPG-130** | RPG-CORE | Luck (Crit rate) | `unit/core/gameplay/` | `test_crit.py` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | UNSUPPORTED | Pending Phase 6 Ledger. | DIFFERENTIAL PARITY | Phase 6 | M7 Hardening | Parity Oracle pass |
| **LEG-RPG-131** | RPG-CORE | Luck (Loot rarity) | `unit/core/gameplay/` | `test_loot.py` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | UNSUPPORTED | Pending Phase 6 Ledger. | DIFFERENTIAL PARITY | Phase 6 | M7 Hardening | Parity Oracle pass |
| **LEG-RPG-132** | RPG-CORE | Perception (Discovery) | `unit/core/gameplay/` | `test_disc.py` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | UNSUPPORTED | Pending Phase 6 Ledger. | DIFFERENTIAL PARITY | Phase 6 | M7 Hardening | Parity Oracle pass |
| **LEG-RPG-133** | RPG-CORE | Breakthrough bonus | `unit/core/gameplay/` | `test_brk.py` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | UNSUPPORTED | Pending Phase 6 Ledger. | DIFFERENTIAL PARITY | Phase 6 | M7 Hardening | Parity Oracle pass |
| **LEG-RPG-134** | RPG-CORE | Warrior vs Mage gear | `unit/core/gameplay/` | `test_gear.py` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | UNSUPPORTED | Pending Phase 6 Ledger. | DIFFERENTIAL PARITY | Phase 6 | M7 Hardening | Parity Oracle pass |
| **LEG-RPG-149** | RPG-CORE | Attention limits | `unit/ai/` | `test_attention.py` | `src_v2/systems/strategic.py` | `tests_v2/` | `test_resource_intelligence_contract.py` | SUPPORTED | DIVERGENT | Bounded cognition. | CERTIFICATION | Phase 5 | None | Verification suite pass |
| **LEG-RPG-153** | RPG-CORE | Combat Exhaustion | `unit/combat/` | `test_exhaust.py` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | UNSUPPORTED | Pending Phase 6 Ledger. | DIFFERENTIAL PARITY | Phase 6 | M7 Hardening | Parity Oracle pass |
| **LEG-RPG-154** | RPG-CORE | Genetics Talent multipliers | `unit/core/aspects/` | `test_gen_mult.py` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | UNSUPPORTED | Pending Phase 6 Ledger. | DIFFERENTIAL PARITY | Phase 6 | M7 Hardening | Parity Oracle pass |
| **LEG-RPG-155** | RPG-CORE | Action Convergence (Style) | `unit/ai/` | `test_style.py` | `src_v2/engine/movement.py` | `tests_v2/` | `test_movement_parity.py` | SUPPORTED | DIVERGENT | Intent modes in v2. | CERTIFICATION | Phase 5 | None | Verification suite pass |
| **LEG-RPG-158** | RPG-CORE | Flanking / Backstab | `unit/ai/` | `test_bonus.py` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | UNSUPPORTED | Pending Phase 6 P1. | DIFFERENTIAL PARITY | Phase 6 | M7 Hardening | Parity Oracle pass |
